Job_name,Company_name,Location_name,Job_description
Senior Scheduler - Construction Management,STV,"Los Angeles, CA","We currently have an opening in Los Angeles for a Scheduler for our Construction Management division.
Key responsibilities will include:
Developing, Maintaining and Monitoring project schedules.
Provide timely and accurate updating of project schedules.
Resource loading and analysis of data into schedules as required Primavera.
Cost Loading and analysis of data into schedules as required Primavera.
Manages the development of the overall CPM schedule and assures coordination with the Project Superintendent and the procurement schedule with the Project Manager.
Monitoring and maintaining the quality of schedule reflection files.
Assist in weekly / monthly project schedule updates with the project team.
Assist the project team in fragmenting the project schedule when required.
Provides insight to the Project Manager concerning schedule updates as to critical path and near critical path activities, and other potential issues with the project schedule.
Serve as schedule technical advisor for the solution of project schedule problems.
Assist Project Managers in creating short-term schedules, monitor such schedules to determine impact on master schedule, and help in formulating actions to correct scheduling problems.
Assist Project Managers in the development of delay claim impacts.
Assist Project Managers in the development of recovery schedules.
Other duties as assigned.
Requirements:
10 years of construction, engineering or design; commercial construction experience highly preferred.
Well-developed written and verbal communication skills.
Must be detail-oriented and have the ability to work well within a deadline driven environment.
Perform functions efficiently and accurately.
Professional attitude; conducts oneself in positive manner at all times.
Must respect and maintain confidentiality of sensitive information.
Must be able to perform in a fast paced, changing environment.
Positive attitude and professional customer service skills, internal and external.
Previous experience in scheduling using P6.
Aviation construction management experience highly preferred.
STV is an Equal Opportunity Employer of Minorities, Females, Protected Veterans and Individuals with Disabilities.


Required Skills


Required Experience"
"Construction Management, Summer Internship Program 2019",Related Partners,"Los Angeles, CA","At Related, our 10-week summer internship offer students hands-on experience and a chance to work on challenging projects with some of the best minds in the business. The Related Internship Program not only places you within a specific project area, but also provides tours of our portfolio, and exposes you to our multi-faceted lines of business through an outstanding executive speaker series.

This is an excellent opportunity for you to develop valuable contacts and obtain the type of hands-on experience that will benefit you as you make important career choices.

Related’s construction management team works to provide necessary insight and input on construction schedule, cost and complexity.  They are an integral part of the development team from predevelopment through completion.  The construction team works alongside the project’s in-house design, financial and development management team to manage costs, explore building system alternatives, coordinate zoning and permits, and oversee the project’s construction bid and contract process.  Related’s strong relationships with local quality contractors and union trade groups have enabled Related to develop one of the nation’s largest and most complex developments, including Time Warner Center, and qualified the company to develop Hudson Yards.  The professionals working on these mega projects are the same as those building Related’s residential buildings, delivering the same excellence regardless of the building scale or complexity. We are committed to the highest standards of excellence and strive to always exceed customer expectations and be the best in our industry.
 Primary Responsibilities
As a Construction Management Intern, you will be staffed on a dynamic team managing the construction of one of our developments.   You will assist the Project Manager with a variety of daily tasks such as reviewing drawings and marking them up on Bluebeam or using Excel to input detailed project data.  You will also learn to manage the submittal and RFI processes as you communicate back at forth with different parties on the job.  You will get the chance to attend various meetings every week with the design team, procurement team, and subcontractors.  You will also be involved in site visits.  
Review and summarize documents including but not limited to partnership agreements, audits, and term sheets
Compile market research to draw comparisons between different properties
Participate in weekly meetings on current projects
Assist in creation, execution and monitoring project work plans and revises as required to meet changing needs and requirements
Participate in creating overall project schedule and oversees timely execution
Assist with management of day to day operational aspects of the project
Ensures project documents are complete, current, and stored appropriately

Our ideal candidate will be a rising junior or senior with the following skills:
 Degree in Construction Management or Engineering
Excellent communication skills, both written and verbal
Knowledge of mechanical, electrical systems
A highly entrepreneurial, self-motivated and results-oriented individual
Knowledge of Microsoft Office Suite (Excel, Word, PowerPoint)
Keen Attention to Detail
High Energy; Possessed with Drive
Strong Organizational Skills
Excellent professional demeanor with the ability to work with a wide range of levels of management
A strong passion for Real Estate Development

Related Companies is an equal opportunity employer."
"Construction Management, Summer Internship Program 2019","Related Partners, Inc.","Los Angeles, CA","Overview
At Related, our 10-week summer internship offer students hands-on experience and a chance to work on challenging projects with some of the best minds in the business. The Related Internship Program not only places you within a specific project area, but also provides tours of our portfolio, and exposes you to our multi-faceted lines of business through an outstanding executive speaker series. This is an excellent opportunity for you to develop valuable contacts and obtain the type of hands-on experience that will benefit you as you make important career choices.
Responsibilities
Related’s construction management team works to provide necessary insight and input on construction schedule, cost and complexity.  They are an integral part of the development team from predevelopment through completion.  The construction team works alongside the project’s in-house design, financial and development management team to manage costs, explore building system alternatives, coordinate zoning and permits, and oversee the project’s construction bid and contract process.  Related’s strong relationships with local quality contractors and union trade groups have enabled Related to develop one of the nation’s largest and most complex developments, including Time Warner Center, and qualified the company to develop Hudson Yards.  The professionals working on these mega projects are the same as those building Related’s residential buildings, delivering the same excellence regardless of the building scale or complexity. We are committed to the highest standards of excellence and strive to always exceed customer expectations and be the best in our industry.
 Primary Responsibilities
As a Construction Management Intern, you will be staffed on a dynamic team managing the construction of one of our developments.   You will assist the Project Manager with a variety of daily tasks such as reviewing drawings and marking them up on Bluebeam or using Excel to input detailed project data.  You will also learn to manage the submittal and RFI processes as you communicate back at forth with different parties on the job.  You will get the chance to attend various meetings every week with the design team, procurement team, and subcontractors.  You will also be involved in site visits.  
Review and summarize documents including but not limited to partnership agreements, audits, and term sheets
Compile market research to draw comparisons between different properties
Participate in weekly meetings on current projects
Assist in creation, execution and monitoring project work plans and revises as required to meet changing needs and requirements
Participate in creating overall project schedule and oversees timely execution
Assist with management of day to day operational aspects of the project
Ensures project documents are complete, current, and stored appropriately
Qualifications
Our ideal candidate will be a rising junior or senior with the following skills:
  Degree in Construction Management or Engineering
Excellent communication skills, both written and verbal
Knowledge of mechanical, electrical systems
A highly entrepreneurial, self-motivated and results-oriented individual
Knowledge of Microsoft Office Suite (Excel, Word, PowerPoint)
Keen Attention to Detail
High Energy; Possessed with Drive
Strong Organizational Skills
Excellent professional demeanor with the ability to work with a wide range of levels of management
A strong passion for Real Estate Development
Related Companies is an equal opportunity employer."
"Construction Staff Project Manager - West LA, CA",Kaiser Permanente,"Los Angeles, CA","Description:
Provides managerial oversight to a construction project or a series of construction projects. Responsible for the overall direction, administration, completion, and financial outcome of a construction project. Manages work of project teams including facility administration, project coordinators, general contractors and contracted consultants responsible for developing project scope, budget and schedule, to establish operational priorities and maintains satisfactory relationships with service area leadership and staff, subcontractors, unions, etc.


Essential Functions:
- Responsible for all phases (planning, scheduling and managing) of the design and construction process of a complex construction or refurbishment project generally in the range of $50 million to $100 million in cumulative budget responsibility.
- Secures management support for project scopes budgets, and goals.
- Negotiates with local and state jurisdictions.
- Defines project parameters in terms of time, money, physical objectives and outside constraints.
- Oversees, develops and manages a project team comprised of facility administration, project coordinators, general contractors and contracted consultants responsible for developing project scope, budget and schedule.
- Leads team(s) in establishing scope, budget and schedule, and maintains such commitments through design, construction, and close-out processes.
- Supervises on-site Design and Construction teams, communicating goals and project status with facility leadership.
- Evaluates and provides guidance during all planning stages of medical and regional facilities including making economic comparisons of development schemes, recommending options in conformance to master plan.
- Negotiates fees and business decisions for contracts with professional contractors.
- Reviews and approves consultant and contractor invoices, and approves change orders to contract documents.
- Ensures Facilities Services goals for client service are continuously met through the design and construction process.
- Ensures that projects are completed in compliance with Kaiser standards for quality/functionality and applicable regulatory requirements.
- Leads and manages timely procurement for all permits required by regulatory authorities.
Basic Qualifications:
Experience
- Minimum ten (10) years of total experience.
Education
- Bachelor's degree or certification in architecture, engineering, construction or project management or related field.
- High School Diploma or General Education Development (GED) required.
License, Certification, Registration
- N/A
 
Additional Requirements:
- Must be able to work in a Labor/Management Partnership environment.
- Functional Knowledge&Skills:
- Working knowledge of principles of architecture, engineering, and construction.
- Working knowledge of Federal, State and local laws and regulations related to real estate and land development and health facility projects; local entitlement and permitting processes, to include compliance with DEQA; Specific knowledge of OSHPD (in California) and similar regulatory agencies practices/ policies/ procedures in other states.

 
Preferred Qualifications:
- Professional license/registration/certification preferred."
"Director, Construction Management",Hudson Pacific Properties,"Los Angeles, CA","Hudson Pacific Properties (NYSE: HPP) is seeking a Director, Construction Management to oversee capital improvements, tenant improvements and building renovations for our studio properties.

Responsibilities include:
Management and oversight of capital improvement projects and construction process including retain architects, consultants, and contractors, coordinate design with leasing teams and maintain project budgets and schedules from project inception through completion.
Manage, mentor and lead assigned direct reports to ensure successful completion of workflow, development of direct reports’ skills, and foster positive morale. 
Plan, staff, and supervise all assigned departmental activities to ensure a cohesive and collaborative team.
Identify and define scope of work for capital construction projects, seek contractors’ bids, analyze bids, and draft contracts for respective projects.
Create annual construction budgets, determining both immediate and long- term requirements to preserve asset and maintain building integrity.
Develop and maintain project budgets and schedules. Create, update, and analyze detailed budgets, including payment approvals (billing & invoices), budget tracking and cash flow reports.
Participate in the due diligence, process, and evaluation of proposed developments and existing building acquisitions.
Coordinate and participate in the various aspects of the permitting / entitlement process.
Inspect and review projects to ensure compliance with building and safety codes, and other regulations and obtain all necessary permits and licenses.
Interpret and explain plans and contract terms to workers and clients, representing the owner.

Qualifications
Bachelor’s Degree required and higher preferred in architecture, engineering, construction management or some related field. LEED certification is preferred.
Minimum 10-15 years of project management experience at a similar institutional real estate business or in an architectural or general contractor firm focused on creative spaces for tech, media and entertainment clients.
Minimum 10 years of experience leading teams with direct reports.
Thorough technical knowledge of all aspects of commercial office building construction and strong working knowledge of California building requirements preferred.

Hudson Pacific Properties is a vertically integrated real estate company focused on acquiring, repositioning, developing and operating high quality office and state-of-the-art media and entertainment properties in select West Coast markets. Hudson Pacific invests across the risk-return spectrum, favoring opportunities where it can employ leasing, capital investment and management expertise to create additional value. Founded in 2006 as Hudson Capital, the company went public in 2010, electing to be taxed as a real estate investment trust. Through the years, Hudson Pacific has strategically assembled a portfolio in high growth, high-barrier-to-entry submarkets throughout Northern and Southern California and the Pacific Northwest. The company is a leading provider of design-forward, next-generation workspaces for a variety of tenants, with a focus on Fortune 500 and leading growth companies, many in the technology, media and entertainment sectors. As a long-term owner, Hudson Pacific prioritizes tenant satisfaction and retention, providing highly customized build-outs and working proactively to accommodate tenants’ growth."
Construction Inspector Transportation,Psomas,"Los Angeles, CA","Construction Inspector Transportation Santa Ana (Continuous Posting)
Our construction management team has on-going needs for Construction Inspectors with experience delivering transportation projects for public sector agencies. Projects include construction of roadways, highways, bridges, transit, rail, ports and airports.
Learn more about our Construction Management projects, clients and services here.
Projects are located throughout the Orange County region and duration of projects may vary.
Responsibilities:
Provide daily site inspections to verify compliance with approved plans, specifications and codes
Coordinate activities with clients/owners, consultants, contractors, designers and regulatory agencies
Prepare daily reports
Review the Contractor's schedule progress
Labor compliance
Coordinate 3rd-party special material testing inspections
Review and provide input on potential change order issues
Maintain project records and manage project photographic records
Verification of field surveys
Other duties as assigned
Required Qualifications:
Minimum of 5 years' relevant construction inspection experience
High school diploma or equivalent education
Excellent verbal and written communication skills
Working knowledge of MS Office Suite
Preferred:
EIT certification or PE
ICC, NICET, or other inspection certifications

https://psomas.applicantpro.com/jobs/892575.html

Learn more about working at Psomas and view all our open jobs by clicking here!
We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, sexual orientation, gender identity, or any other characteristic protected by law.
0"
Construction Inspection Supervisor,"City of Pasadena, CA","City of Pasadena, CA","The City of Pasadena, Public Works Department is seeking a Public Works Construction Inspection Supervisor to supervise, manage, and train the Public Works Inspection staff.  The Construction Inspection Supervisor will perform inspection duties of a more difficult and sensitive nature and perform other similar inspection assignments. 

IDEAL CANDIDATE:
The Public Works Construction Inspection Supervisor will use their proactive thinking skills and problem solving ability while working with other departments, agencies and the public on various inspection related issues. The ideal candidate will be a technical expert in their field and have a wide range of knowledge in Public Works infrastructure.   This person will have excellent organization and planning skills, decision-making skills, have the ability to take initiative, customer focus, strong analytical skills, good leadership skills, as well as a strong work ethic.    

This recruitment is open until filled, with a first review of applications scheduled for October 11, 2018. Apply now!
Job Type: Full -Time
Location: City of Pasadena, California
Agency: Public Works"
Construction Manager III,"Hill International, Inc","Los Angeles, CA","Construction Manager III - (18001491) 
Description
 Hill International is an international construction consulting firm that provides program and project management, construction management, cost engineering and estimating, quality assurance, inspection, scheduling, risk management and claims avoidance to clients involved in major construction projects worldwide. Hill has participated in over 10,000 project assignments with a total construction value of more than $500 billion. (www.hillintl.com)

We are seeking a Construction Manager to work in Los Angeles, CA.
 Qualifications
 Manages, oversees and coordinates all facets of the construction phase of a college facility project including mobilization, construction, and closeout
Plans, organizes, directs and reports construction management activities and progress to upper management
Coordinates with public agencies during construction to comply with off-site work
Manages both the project budget and schedule to meet the District’s qualitative standards
Performs day-to-day contract administration including assisting the Senior Project Managers in bid analysis, pre-construction meetings and related award coordinating activities
Reviews contractors’ initial construction schedule, submittals, schedule of values, and responds to contractor inquiries
Manages and coordinates project team and contractors in communicating directives and ensuring the project scope is built according to plans, specifications, and cost limits
Reviews submittals from contractors to ensure specification requirements are met
Obtains responses to requests for clarification from contractors and keeps a log of such requests
Negotiates with contractors to achieve a fair and reasonable cost for change orders and reviews their impact on the project
Reviews applications for payment, and performs fiscal management of project resources
Coordinates District delivery of related fixtures, furniture and equipment
Perform other Construction Management functions as assigned
Experience with a $60M-$100M Public Works construction projects
Experience with major hazardous material remediation projects
Minimum Required Qualifications:
8 years experience in Construction Management of Commercial and/or Public Facilities, preferably including Educational Facility Construction
BS or BA in Architecture, Engineering, Urban Planning, Construction Management or a closely related field 
OR
8 years experience in Construction Management of Commercial and/or Public Facilities, preferably including Educational Facility Construction.
4 years additional qualifying experience in excess to the minimum stated above may be substituted for the required education.
Preferred Qualifications:
Experience utilizing Building Information Modeling (BIM)
Experience with Leadership in Energy and Environmental Design (LEED) certified projects and/or the Collaborative for High Performing Schools (CHPS)
Experience with Division of the State Architect (DSA) construction/design processes
A valid Certificate of Registration as a Professional Engineer or licensed Architect in the State of California or
A valid Certified Construction Manager (CCM) credential by the Construction Manager Certification Institute (CMCI)

http://www.hillintl.com/employment/everify/index.html

Hill International is an Equal Opportunity Employer/Minority/Female/Veteran/Disabled
 Primary Location: US-CA-Los Angeles"
Underground Utilities Construction Laborer,"Tradesmen International, Inc.","ALHAMBRA, CA","Description
Now hiring Underground Utilities Construction Laborers 
 Responsibilities: 
Include the following. To perform this job successfully, the Consrution Laborer may be expected to perform some or all of the duties listed, and other listed, and other duties as assigned.
Install materials for cathodic protection construction projects.
Review field file with Forman and/or project manager to understand job requirements for materials and installation.
 Requirements
Requirements: 
40 hour Hazwoper certified
Knowledge of construction equipment and following various pipeline procedures.
High School diploma or equivalent
Experience with water well & cathodic protection wells preferred
Enjoy working outside
Ability to travel out of town for work
Experience with a mud rotary drill rig
Experience with water well & cathodic protection wells.
 Company Details
Benefits: 
Vacation Pay
Health insurance
Dental and vision plan
Prescription drug plan
Life insurance
Short-term disability
401(k) profit-sharing savings plan
Incentive programs
Tool purchase programs
  Tradesmen International is an Equal Opportunity Employer (EOE).
Recruiter Name
James Young
Location
US-CA-ALHAMBRA"
Underground Utilities Construction Laborer,"Tradesmen International, Inc.","ALHAMBRA, CA","Description
Now hiring Underground Utilities Construction Laborers 
 Responsibilities: 
Include the following. To perform this job successfully, the Consrution Laborer may be expected to perform some or all of the duties listed, and other listed, and other duties as assigned.
Install materials for cathodic protection construction projects.
Review field file with Forman and/or project manager to understand job requirements for materials and installation.
 Requirements
Requirements: 
40 hour Hazwoper certified
Knowledge of construction equipment and following various pipeline procedures.
High School diploma or equivalent
Experience with water well & cathodic protection wells preferred
Enjoy working outside
Ability to travel out of town for work
Experience with a mud rotary drill rig
Experience with water well & cathodic protection wells.
 Company Details
Benefits: 
Vacation Pay
Health insurance
Dental and vision plan
Prescription drug plan
Life insurance
Short-term disability
401(k) profit-sharing savings plan
Incentive programs
Tool purchase programs
  Tradesmen International is an Equal Opportunity Employer (EOE).
Recruiter Name
James Young
Location
US-CA-ALHAMBRA"
"Construction Supervisor - Los Angeles, CA",TekCom Resources,"Los Angeles, CA","URGENT - NOW HIRING!

Construction Supervisor
Responsibilities include:
Supervise all operations to ensure that all splicing operations are completed in accordance with customer and industry specifications.
This includes ensuring that all needed tools and equipment are available at the jobsite, working from engineered blueprints, and keeping track of production.
Oversee testing and troubleshooting fiber using OTDR, optical power meter, fiber identifier and scope
Provide OSP Engineers with detailed reports of field splicing activity
Reviews and interprets underground and aerial cable records in existing records, on maps or in the field
Makes precise recommendations for changes in running fiber optic cables, or provides input into construction methodologies
Manage engineering, permit and construction processes
Ensure all work is performed to conform to quality control guidelines (includes compliance with requirements outlined in applicable regulations such as: OSHA, FCC, NESC and NEC, etc ; as well as following procedures as outlined in the Installation, Technical, Operations, and Safety Manuals, and Employee Handbook)
Clean, maintain, stock, and secure assigned vehicle and equipment
Assign other duties as needed
 
TekCom Resources, Inc. is proud to be an Equal Opportunity Employer and values diversity. All employment is decided on the basis of qualifications, merit and business need."
Error loading,Error loading,Error loading,Error loading
Assistant Construction Manager,Hines,"Los Angeles, CA","When you join Hines, you will work alongside innovative leaders who set the standards responsible for our reputation as an industry leader today, and you’ll be a part of shaping our future in the years to come.

As an Assistant Construction Manager with Hines, you will act as the Owner's representative and assist in the management and coordination of all activities associated with the construction of base building and/or interior improvements. Responsibilities include, but are not limited to:
 Assist Owner and/or tenants in space planning, budget preparation, material selection, cost estimating, Construction contracts and cost monitoring
Coordinate and facilitate general construction activities
Monitor and review contractors' work as it relates to budget, schedule and owner's program
Direct activities of architects/engineers
Prepare and monitor cost estimates, budget updates, change order reports
Administer change order procedures and contractor progress payments
Maintain and monitor the progress of punch lists and close out documents

Minimum Requirements include:
 Bachelor's degree, preferably in construction science, engineering or related field from an accredited institution
Three or more years general contractor or construction related experience
Demonstrate understanding and successful application of general construction terminology and processes
Read and interpret construction related manuals, research/instructional reports, safety rules, and methods and procedures in mechanical drawing and layout work.
Read and interpret detailed construction drawings and specifications and communicate findings with team
Negotiate and interpret the intent of contract documents and mediate disputes as needed
Demonstrate proficiency in Microsoft Office software
 
Hines is a privately owned global real estate investment firm founded in 1957 with a presence in 207 cities in 24 countries. Hines has approximately $116.4 billion of assets under management, including $64 billion for which Hines provides fiduciary investment management services, and $52.4 billion for which Hines provides third-party property-level services. The firm has 109 developments currently underway around the world. Historically, Hines has developed, redeveloped or acquired 1,319 properties, totaling over 431 million square feet. The firm’s current property and asset management portfolio includes 527 properties, representing over 224 million square feet. With extensive experience in investments across the risk spectrum and all property types, and a pioneering commitment to sustainability, Hines is one of the largest and most-respected real estate organizations in the world. Visit www.hines.com for more information.
 We are an equal opportunity employer and support workforce diversity.
 No calls or emails from third parties at this time please."
Construction Management Skills Training (CMST) Program - 2019,Shawmut Design and Construction,"Los Angeles, CA","At Shawmut, our primary objective is to deliver exceptional service catered to our clients’ specific goals and concerns. Our project teams deliver top quality work through a hands-on, collaborative process while keeping our clients’ best  interests our absolute focus at all times. With specialized training and the support of a national company, we foster project teams whose skill and dedication leads to the deliberate, predictable and repeatable construction experiences that have attracted and retained the top clients in every market in which we focus. The most memorable construction experiences are based on one principle—it’s the people who make the difference. And at Shawmut, we have the very best.

We are looking for recent or soon-to-be college graduates to be part of our 2019 Construction Management Skills Training (CMST) Program in all of our offices. This unique training program encompasses three twelve-month long rotations in the main areas of construction management: Project Management, Site Supervision, and Estimating. At the end of this intense on-the-job program, trainees graduate and continue their careers dedicated to the role of Assistant Project Manager, Assistant Superintendent, or Assistant Estimator with an understanding of the entire life cycle of a job. 

Project Management
Ensure the proper tools are in place to begin a project
Ensure all documents and materials are maintained throughout a project
Assist with financial management of a project
Assist with the punch list process by coordinating with necessary parties, tracking all items, and distributing lists to all parties
 Site Supervision
Determine constructability of a project
Secure government licenses to start a job
Confirm materials and methods as specified by project documents
Ensure projects are delivered the Shawmut way
Track and manage subcontractor changes and extra work
Keep project plans current and highlight changes

Estimating
Ensure that proper documentation is in place prior to the beginning of the estimating process
Find all necessary information regarding the job to produce a quality estimate
Ensure that the best bids are obtained for each trade based on project needs, and create quantity take-offs for all applicable divisions/trades, beginning with the creation of an accurate list of all trades affected
Assist in the presentation of information and proposals

Bachelors degree or equivalent military experience required, preferably in construction management, civil engineering or a related field
Co-op or internship experience in construction strongly preferred
Strong communication skills
Ability to interact with all levels of management
High attention to detail
Flexibility for national/regional travel"
Construction Inspector,Wood,"Los Angeles, CA","Wood Environment & Infrastructure Solutions is recruiting fulltime or on-call Lead Construction Inspectors to inspect and document project related construction activities for conformance to project plans and ICC/City codes. Candidate may also perform other inspection duties as may relate to our project scopes that may include coordination of other inspection personnel and review of their documentation, and coordination of activities on behalf of client personnel. This position is imminent and qualified candidates are encouraged to apply immediately.
 Key Responsibilities
 The qualified candidate(s) will work at various client construction project sites in the Los Angeles and Orange county areas inspecting and assessing construction activities, office engineer responsibilities and supplementing client staff as necessary
Primary locations may include LAX and City of Inglewood
Must be able to submit professional reports to clients and must have the ability to meet deadlines
Shifts may be standard daytime or off standard shifts such as swing and graveyard

Minimum HS Diploma or equivalent
8 years of construction inspection experience
Licenses or certifications in multiple ICC functions such as structural steel and concrete (Los Angeles Deputy Inspector, DSA and OSHPD certifications are preferred, but not required)
Self-motivated with a proven record of accountability
Strong communication skills both written and verbal
Good computer skills (including MS Office Suite)
Must be able to read plans, specs and technical specifications
Must be able to obtain proper badge
Must pass drug screen and background check
Must pass MVR (driving) check in accordance with operating vehicles on the airfield if needed
Prior experience working on commercial, industrial or airfield buildings preferred
Candidates must be able to obtain proper customs clearance and possess a valid US driver's license in good standing for LAX work
Must be able to perform on your feet throughout the day including a lot of walking and potentially climbing ladders
Must be able to lift up to 50 lbs.

Wood is a global leader in the delivery of project, engineering and technical services to energy and industrial markets. We operate in more than 60 countries, employing around 55,000 people, with revenues of around $10 billion.  We provide performance driven solutions throughout the asset life cycle, from concept to decommissioning across a broad range of industrial markets including the upstream, midstream and downstream oil & gas, power & process, environment and infrastructure, clean energy, mining, nuclear and general industrial sectors. We strive to be the best technical services company to work with, work for and invest in. www.woodplc.com

We are an equal opportunity employer that recognises the value of a diverse workforce. All suitably qualified applicants will receive consideration for employment on the basis of objective criteria and without regard to the following (which is a non-exhaustive list): race, colour, age, religion, gender, national origin, disability, sexual orientation, gender identity, protected veteran status, or other characteristics in accordance with the relevant governing laws.
 "
Construction Management Skills Training (CMST) Program - 2019,Shawmut,"Los Angeles, CA","Overview
At Shawmut, our primary objective is to deliver exceptional service catered to our clients’ specific goals and concerns. Our project teams deliver top quality work through a hands-on, collaborative process while keeping our clients’ best  interests our absolute focus at all times. With specialized training and the support of a national company, we foster project teams whose skill and dedication leads to the deliberate, predictable and repeatable construction experiences that have attracted and retained the top clients in every market in which we focus. The most memorable construction experiences are based on one principle—it’s the people who make the difference. And at Shawmut, we have the very best.
Responsibilities
We are looking for recent or soon-to-be college graduates to be part of our 2019 Construction Management Skills Training (CMST) Program in all of our offices. This unique training program encompasses three twelve-month long rotations in the main areas of construction management: Project Management, Site Supervision, and Estimating. At the end of this intense on-the-job program, trainees graduate and continue their careers dedicated to the role of Assistant Project Manager, Assistant Superintendent, or Assistant Estimator with an understanding of the entire life cycle of a job. Project Management
Ensure the proper tools are in place to begin a project
Ensure all documents and materials are maintained throughout a project
Assist with financial management of a project
Assist with the punch list process by coordinating with necessary parties, tracking all items, and distributing lists to all parties
 Site Supervision
Determine constructability of a project
Secure government licenses to start a job
Confirm materials and methods as specified by project documents
Ensure projects are delivered the Shawmut way
Track and manage subcontractor changes and extra work
Keep project plans current and highlight changes
Estimating
Ensure that proper documentation is in place prior to the beginning of the estimating process
Find all necessary information regarding the job to produce a quality estimate
Ensure that the best bids are obtained for each trade based on project needs, and create quantity take-offs for all applicable divisions/trades, beginning with the creation of an accurate list of all trades affected
Assist in the presentation of information and proposals
Qualifications
Bachelors degree or equivalent military experience required, preferably in construction management, civil engineering or a related field
Co-op or internship experience in construction strongly preferred
Strong communication skills
Ability to interact with all levels of management
High attention to detail
Flexibility for national/regional travel"
Construction Inspector,Wood Plc,"Los Angeles, CA","Overview / Responsibilities
Wood Environment & Infrastructure Solutions is recruiting fulltime or on-call Lead Construction Inspectors to inspect and document project related construction activities for conformance to project plans and ICC/City codes. Candidate may also perform other inspection duties as may relate to our project scopes that may include coordination of other inspection personnel and review of their documentation, and coordination of activities on behalf of client personnel. This position is imminent and qualified candidates are encouraged to apply immediately.
 Key Responsibilities
  The qualified candidate(s) will work at various client construction project sites in the Los Angeles and Orange county areas inspecting and assessing construction activities, office engineer responsibilities and supplementing client staff as necessary
Primary locations may include LAX and City of Inglewood
Must be able to submit professional reports to clients and must have the ability to meet deadlines
Shifts may be standard daytime or off standard shifts such as swing and graveyard
Skills / Qualifications
Minimum HS Diploma or equivalent
8 years of construction inspection experience
Licenses or certifications in multiple ICC functions such as structural steel and concrete (Los Angeles Deputy Inspector, DSA and OSHPD certifications are preferred, but not required)
Self-motivated with a proven record of accountability
Strong communication skills both written and verbal
Good computer skills (including MS Office Suite)
Must be able to read plans, specs and technical specifications
Must be able to obtain proper badge
Must pass drug screen and background check
Must pass MVR (driving) check in accordance with operating vehicles on the airfield if needed
Prior experience working on commercial, industrial or airfield buildings preferred
Candidates must be able to obtain proper customs clearance and possess a valid US driver's license in good standing for LAX work
Must be able to perform on your feet throughout the day including a lot of walking and potentially climbing ladders
Must be able to lift up to 50 lbs.
Company Overview
Wood is a global leader in the delivery of project, engineering and technical services to energy and industrial markets. We operate in more than 60 countries, employing around 55,000 people, with revenues of around $10 billion.  We provide performance driven solutions throughout the asset life cycle, from concept to decommissioning across a broad range of industrial markets including the upstream, midstream and downstream oil & gas, power & process, environment and infrastructure, clean energy, mining, nuclear and general industrial sectors. We strive to be the best technical services company to work with, work for and invest in. www.woodplc.com
Diversity Statement
We are an equal opportunity employer that recognises the value of a diverse workforce. All suitably qualified applicants will receive consideration for employment on the basis of objective criteria and without regard to the following (which is a non-exhaustive list): race, colour, age, religion, gender, national origin, disability, sexual orientation, gender identity, protected veteran status, or other characteristics in accordance with the relevant governing laws.
 "
