HEALTH 011,Principles Of Healthful Living,MoWe 12:10PM - 1:35PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 011,Principles Of Healthful Living,TuTh 10:35AM - 12:00PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 011,Principles Of Healthful Living,Sa 9:00AM - 12:10PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 011,Principles Of Healthful Living,MoWe 7:25AM - 8:50AM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 011,Principles Of Healthful Living,Fr 9:00AM - 12:10PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 011,Principles Of Healthful Living,TuTh 12:10PM - 1:35PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 011,Principles Of Healthful Living,MoWe 10:35AM - 12:00PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 011,Principles Of Healthful Living,TuTh 6:50PM - 8:15PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 011,Principles Of Healthful Living,TuTh 1:45PM - 3:10PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 011,Principles Of Healthful Living,MoWe 9:00AM - 10:25AM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 011,Principles Of Healthful Living,MoWe 5:15PM - 6:40PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 011,Principles Of Healthful Living,TuTh 3:30PM - 4:55PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 011,Principles Of Healthful Living,TuTh 5:15PM - 6:40PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 011,Principles Of Healthful Living,MoWe 6:50PM - 8:15PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 011,Principles Of Healthful Living,MoWe 9:00AM - 10:25AM,02/04/2019 - 06/03/2019,Instructional Television,HEALTH,Instructional Television
HEALTH 011,Principles Of Healthful Living,MoWe 12:10PM - 1:35PM,02/04/2019 - 06/03/2019,Instructional Television,HEALTH,Instructional Television
HEALTH 011,Principles Of Healthful Living,TuTh 6:00PM - 9:10PM,04/08/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 011,Principles Of Healthful Living,MoWe 9:35AM - 11:00AM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,HEALTH,"1111 Figueroa Place, Wilmington, CA 90744"
HEALTH 011,Principles Of Healthful Living,TuTh 9:35AM - 11:00AM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,HEALTH,"1111 Figueroa Place, Wilmington, CA 90744"
HEALTH 011,Principles Of Healthful Living,Mo 5:10PM - 8:15PM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,HEALTH,"1111 Figueroa Place, Wilmington, CA 90744"
HEALTH 011,Principles Of Healthful Living,MoWe 3:30PM - 4:55PM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,HEALTH,"1111 Figueroa Place, Wilmington, CA 90744"
HEALTH 011,Principles Of Healthful Living,MoWe 3:30PM - 4:55PM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,HEALTH,"1111 Figueroa Place, Wilmington, CA 90744"
HEALTH 011,Principles Of Healthful Living,TuFr 7:45AM - 9:10AM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,HEALTH,"1111 Figueroa Place, Wilmington, CA 90744"
HEALTH 011,Principles Of Healthful Living,TuTh 7:15AM - 8:40AM,02/04/2019 - 06/03/2019,Los Angeles Mission College,HEALTH,"13356 Eldridge Avenue, Sylmar, CA 91342"
HEALTH 011,Principles Of Healthful Living,Fr 8:50AM - 12:00PM,02/04/2019 - 06/03/2019,Los Angeles Mission College,HEALTH,"13356 Eldridge Avenue, Sylmar, CA 91342"
HEALTH 011,Principles Of Healthful Living,MoWe 8:55AM - 10:20AM,02/04/2019 - 06/03/2019,Los Angeles Mission College,HEALTH,"13356 Eldridge Avenue, Sylmar, CA 91342"
HEALTH 011,Principles Of Healthful Living,TuTh 8:55AM - 10:20AM,02/04/2019 - 06/03/2019,Los Angeles Mission College,HEALTH,"13356 Eldridge Avenue, Sylmar, CA 91342"
HEALTH 011,Principles Of Healthful Living,TuTh 10:35AM - 12:00PM,02/04/2019 - 06/03/2019,Los Angeles Mission College,HEALTH,"13356 Eldridge Avenue, Sylmar, CA 91342"
HEALTH 011,Principles Of Healthful Living,MoWe 3:35PM - 5:00PM,02/04/2019 - 06/03/2019,Los Angeles Mission College,HEALTH,"13356 Eldridge Avenue, Sylmar, CA 91342"
HEALTH 011,Principles Of Healthful Living,MoWe 8:00AM - 9:25AM,02/04/2019 - 06/03/2019,Pierce College,HEALTH,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
HEALTH 011,Principles Of Healthful Living,MoWe 9:35AM - 11:00AM,02/04/2019 - 06/03/2019,Pierce College,HEALTH,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
HEALTH 011,Principles Of Healthful Living,MoWe 11:10AM - 12:35PM,02/04/2019 - 06/03/2019,Pierce College,HEALTH,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
HEALTH 011,Principles Of Healthful Living,Fr 9:00AM - 12:10PM,02/04/2019 - 06/03/2019,Pierce College,HEALTH,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
HEALTH 011,Principles Of Healthful Living,TuTh 12:45PM - 2:10PM,02/04/2019 - 06/03/2019,Pierce College,HEALTH,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
HEALTH 011,Principles Of Healthful Living,Mo 3:30PM - 6:40PM,02/04/2019 - 06/03/2019,Pierce College,HEALTH,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
HEALTH 011,Principles Of Healthful Living,MoWe 7:00PM - 8:25PM,02/04/2019 - 06/03/2019,Pierce College,HEALTH,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
HEALTH 011,Principles Of Healthful Living,TuTh 5:15PM - 6:40PM,02/04/2019 - 06/03/2019,Pierce College,HEALTH,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
HEALTH 011,Principles Of Healthful Living,Mo 6:50PM - 10:00PM,02/04/2019 - 06/03/2019,Pierce College,HEALTH,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
HEALTH 011,Principles Of Healthful Living,TuTh 3:15PM - 5:00PM,02/04/2019 - 05/18/2019,Pierce College,HEALTH,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
HEALTH 011,Principles Of Healthful Living,MoWe 3:30PM - 5:05PM,02/04/2019 - 05/25/2019,Pierce College,HEALTH,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
HEALTH 011,Principles Of Healthful Living,MoWe 8:00AM - 9:25AM,02/04/2019 - 06/03/2019,Los Angeles Southwest College,HEALTH,"1600 West Imperial Highway, Los Angeles, CA 90047"
HEALTH 011,Principles Of Healthful Living,MoWe 9:35AM - 11:00AM,02/04/2019 - 06/03/2019,Los Angeles Southwest College,HEALTH,"1600 West Imperial Highway, Los Angeles, CA 90047"
HEALTH 011,Principles Of Healthful Living,TuTh 9:35AM - 11:00AM,02/04/2019 - 06/03/2019,Los Angeles Southwest College,HEALTH,"1600 West Imperial Highway, Los Angeles, CA 90047"
HEALTH 011,Principles Of Healthful Living,MoWe 11:10AM - 12:35PM,02/04/2019 - 06/03/2019,Los Angeles Southwest College,HEALTH,"1600 West Imperial Highway, Los Angeles, CA 90047"
HEALTH 011,Principles Of Healthful Living,MoWe 1:10PM - 2:35PM,02/04/2019 - 06/03/2019,Los Angeles Southwest College,HEALTH,"1600 West Imperial Highway, Los Angeles, CA 90047"
HEALTH 011,Principles Of Healthful Living,Mo 6:30PM - 9:40PM,02/04/2019 - 06/03/2019,Los Angeles Southwest College,HEALTH,"1600 West Imperial Highway, Los Angeles, CA 90047"
HEALTH 011,Principles Of Healthful Living,MoWe 7:00AM - 8:25AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,HEALTH,"400 W. Washington Blvd, Los Angeles, CA 90015"
HEALTH 011,Principles Of Healthful Living,MoWe 8:35AM - 10:00AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,HEALTH,"400 W. Washington Blvd, Los Angeles, CA 90015"
HEALTH 011,Principles Of Healthful Living,MoWe 10:10AM - 11:35AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,HEALTH,"400 W. Washington Blvd, Los Angeles, CA 90015"
HEALTH 011,Principles Of Healthful Living,MoWe 11:45AM - 1:10PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,HEALTH,"400 W. Washington Blvd, Los Angeles, CA 90015"
HEALTH 011,Principles Of Healthful Living,TuTh 4:25PM - 5:50PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,HEALTH,"400 W. Washington Blvd, Los Angeles, CA 90015"
HEALTH 011,Principles Of Healthful Living,MoWe 3:00PM - 4:25PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,HEALTH,"400 W. Washington Blvd, Los Angeles, CA 90015"
HEALTH 011,Principles Of Healthful Living,TuTh 10:10AM - 11:35AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,HEALTH,"400 W. Washington Blvd, Los Angeles, CA 90015"
HEALTH 011,Principles Of Healthful Living,Mo 6:00PM - 9:10PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,HEALTH,"400 W. Washington Blvd, Los Angeles, CA 90015"
HEALTH 011,Principles Of Healthful Living,MoWe 9:40AM - 11:05AM,02/04/2019 - 06/03/2019,Instructional Television,HEALTH,"5800 Fulton Avenue, Valley Glen, CA 91401"
HEALTH 011,Principles Of Healthful Living,MoWe 8:00AM - 9:25AM,02/04/2019 - 06/03/2019,Instructional Television,HEALTH,"5800 Fulton Avenue, Valley Glen, CA 91401"
HEALTH 011,Principles Of Healthful Living,TuTh 8:00AM - 9:25AM,02/04/2019 - 06/03/2019,Instructional Television,HEALTH,"5800 Fulton Avenue, Valley Glen, CA 91401"
HEALTH 011,Principles Of Healthful Living,TuTh 9:40AM - 11:05AM,02/04/2019 - 06/03/2019,Instructional Television,HEALTH,"5800 Fulton Avenue, Valley Glen, CA 91401"
HEALTH 011,Principles Of Healthful Living,TuTh 9:40AM - 11:05AM,02/04/2019 - 06/03/2019,Instructional Television,HEALTH,"5800 Fulton Avenue, Valley Glen, CA 91401"
HEALTH 011,Principles Of Healthful Living,MoWe 9:40AM - 11:05AM,02/04/2019 - 06/03/2019,Instructional Television,HEALTH,"5800 Fulton Avenue, Valley Glen, CA 91401"
HEALTH 011,Principles Of Healthful Living,TuTh 11:20AM - 12:45PM,02/04/2019 - 06/03/2019,Instructional Television,HEALTH,"5800 Fulton Avenue, Valley Glen, CA 91401"
HEALTH 011,Principles Of Healthful Living,TuTh 1:00PM - 2:25PM,02/04/2019 - 06/03/2019,Instructional Television,HEALTH,"5800 Fulton Avenue, Valley Glen, CA 91401"
HEALTH 011,Principles Of Healthful Living,MoWe 11:20AM - 12:45PM,02/04/2019 - 06/03/2019,Instructional Television,HEALTH,"5800 Fulton Avenue, Valley Glen, CA 91401"
HEALTH 011,Principles Of Healthful Living,MoWe 11:20AM - 12:45PM,02/04/2019 - 06/03/2019,Instructional Television,HEALTH,"5800 Fulton Avenue, Valley Glen, CA 91401"
HEALTH 011,Principles Of Healthful Living,TuTh 5:00PM - 6:25PM,02/04/2019 - 06/03/2019,Instructional Television,HEALTH,"5800 Fulton Avenue, Valley Glen, CA 91401"
HEALTH 011,Principles Of Healthful Living,Tu 6:50PM - 10:00PM,02/04/2019 - 06/03/2019,Instructional Television,HEALTH,"5800 Fulton Avenue, Valley Glen, CA 91401"
HEALTH 011,Principles Of Healthful Living,We 6:50PM - 10:00PM,02/04/2019 - 06/03/2019,Instructional Television,HEALTH,"5800 Fulton Avenue, Valley Glen, CA 91401"
HEALTH 011,Principles Of Healthful Living,TuTh 11:20AM - 12:45PM,02/04/2019 - 06/03/2019,Instructional Television,HEALTH,"5800 Fulton Avenue, Valley Glen, CA 91401"
HEALTH 011,Principles Of Healthful Living,We 4:00PM - 6:00PM2Hr 35Min /Wk TBA We 4:00PM - 6:00PMWe 4:00PM - 6:00PMWe 4:00PM - 6:00PM,02/06/2019 - 02/07/201902/04/2019 - 06/03/201905/01/2019 - 05/02/201904/10/2019 - 04/11/201903/06/2019 - 03/07/2019,Instructional Television,HEALTH,"5800 Fulton Avenue, Valley Glen, CA 91401"
HEALTH 011,Principles Of Healthful Living,Fr 9:40AM - 12:50PM,02/04/2019 - 06/03/2019,Instructional Television,HEALTH,"5800 Fulton Avenue, Valley Glen, CA 91401"
HEALTH 011,Principles Of Healthful Living,MoTh 2:12PM - 3:37PM,02/04/2019 - 06/03/2019,Instructional Television,HEALTH,"5800 Fulton Avenue, Valley Glen, CA 91401"
HEALTH 011,Principles Of Healthful Living,MoWeTh 9:10AM - 10:00AM,02/04/2019 - 06/03/2019,Instructional Television,HEALTH,"5800 Fulton Avenue, Valley Glen, CA 91401"
HEALTH 011,Principles Of Healthful Living,MoWe 8:00AM - 9:30AM,02/04/2019 - 05/31/2019,Instructional Television,HEALTH,"5800 Fulton Avenue, Valley Glen, CA 91401"
HEALTH 011,Principles Of Healthful Living,Tu 2:00PM - 3:30PM1Hr 30Min /Wk TBA,02/04/2019 - 05/23/201902/04/2019 - 05/23/2019,Instructional Television,HEALTH,"5800 Fulton Avenue, Valley Glen, CA 91401"
HEALTH 011,Principles Of Healthful Living,We 3:20PM - 5:00PM1Hr 30Min /Wk TBA,02/11/2019 - 06/03/201902/11/2019 - 06/03/2019,Instructional Television,HEALTH,"5800 Fulton Avenue, Valley Glen, CA 91401"
HEALTH 011,Principles Of Healthful Living,TuTh 8:00AM - 9:25AM,02/04/2019 - 06/03/2019,West Los Angeles College,HEALTH,"9000 Overland Avenue, Culver City, CA 90230"
HEALTH 011,Principles Of Healthful Living,TuTh 9:35AM - 11:00AM,02/04/2019 - 06/03/2019,West Los Angeles College,HEALTH,"9000 Overland Avenue, Culver City, CA 90230"
HEALTH 011,Principles Of Healthful Living,MoWe 9:35AM - 11:00AM,02/04/2019 - 06/03/2019,West Los Angeles College,HEALTH,"9000 Overland Avenue, Culver City, CA 90230"
HEALTH 011,Principles Of Healthful Living,TuTh 11:10AM - 12:35PM,02/04/2019 - 06/03/2019,West Los Angeles College,HEALTH,"9000 Overland Avenue, Culver City, CA 90230"
HEALTH 011,Principles Of Healthful Living,MoWe 1:00PM - 2:25PM,02/04/2019 - 06/03/2019,West Los Angeles College,HEALTH,"9000 Overland Avenue, Culver City, CA 90230"
HEALTH 011,Principles Of Healthful Living,MoWe 11:10AM - 12:35PM,02/04/2019 - 06/03/2019,West Los Angeles College,HEALTH,"9000 Overland Avenue, Culver City, CA 90230"
HEALTH 012,Safety Education And First Aid,Sa 10:00AM - 1:10PM,02/04/2019 - 06/03/2019,Los Angeles City College,HEALTH,"855 N. Vermont Avenue, Los Angeles, CA 90029"
HEALTH 012,Safety Education And First Aid,TuTh 9:35AM - 11:00AM,02/04/2019 - 06/03/2019,Los Angeles City College,HEALTH,"855 N. Vermont Avenue, Los Angeles, CA 90029"
HEALTH 012,Safety Education And First Aid,MoWe 1:45PM - 3:10PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 012,Safety Education And First Aid,TuTh 9:00AM - 10:25AM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 012,Safety Education And First Aid,Tu 5:45PM - 8:55PM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,HEALTH,"1111 Figueroa Place, Wilmington, CA 90744"
HEALTH 012,Safety Education And First Aid,MoWe 8:00AM - 9:25AM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,HEALTH,"1111 Figueroa Place, Wilmington, CA 90744"
HEALTH 012,Safety Education And First Aid,MoTuWe 11:10AM - 1:15PM,02/04/2019 - 03/27/2019,Los Angeles Southwest College,HEALTH,"1600 West Imperial Highway, Los Angeles, CA 90047"
HEALTH 012,Safety Education And First Aid,MoWe 8:35AM - 10:00AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,HEALTH,"400 W. Washington Blvd, Los Angeles, CA 90015"
HEALTH 012,Safety Education And First Aid,MoWe 9:35AM - 11:00AM,02/04/2019 - 06/03/2019,West Los Angeles College,HEALTH,"9000 Overland Avenue, Culver City, CA 90230"
HEALTH 021,Human Sexuality,TuTh 11:45AM - 1:10PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,HEALTH,"400 W. Washington Blvd, Los Angeles, CA 90015"
HEALTH 046,Basic Life Support CPR/AED for the Healthcare Provider,Sa 8:20AM - 10:25AM,04/08/2019 - 06/03/2019,LA Trade-Technical College,HEALTH,"400 W. Washington Blvd, Los Angeles, CA 90015"
HEALTH 048,Men's Personal Health,MoWe 8:00AM - 9:25AM,02/04/2019 - 06/03/2019,Los Angeles Southwest College,HEALTH,"1600 West Imperial Highway, Los Angeles, CA 90047"
HLTHOCC 049,Fundamentals Of Elder Care,MoWe 8:35AM - 11:40AM,03/11/2019 - 06/03/2019,LA Trade-Technical College,HLTHOCC,"400 W. Washington Blvd, Los Angeles, CA 90015"
HLTHOCC 049,Fundamentals Of Elder Care,TuTh 8:35AM - 10:55AM,03/11/2019 - 06/03/2019,LA Trade-Technical College,HLTHOCC,"400 W. Washington Blvd, Los Angeles, CA 90015"
HLTHOCC 051,Medical Office Microcomputer Management Applications,Th 5:10PM - 6:00PM,04/08/2019 - 06/02/2019,West Los Angeles College,HLTHOCC,"9000 Overland Avenue, Culver City, CA 90230"
HLTHOCC 051,Medical Office Microcomputer Management Applications,Th 6:10PM - 9:20PM,04/08/2019 - 06/02/2019,West Los Angeles College,HLTHOCC,"9000 Overland Avenue, Culver City, CA 90230"
HLTHOCC 052,Medical Office Procedures I,MoTu 5:10PM - 8:15PM,03/26/2019 - 06/02/2019,West Los Angeles College,HLTHOCC,"9000 Overland Avenue, Culver City, CA 90230"
HLTHOCC 052,Medical Office Procedures I,MoTu 8:25PM - 10:30PM,03/26/2019 - 06/02/2019,West Los Angeles College,HLTHOCC,"9000 Overland Avenue, Culver City, CA 90230"
HLTHOCC 052,Medical Office Procedures I,Mo 4:30PM - 8:20PM,02/19/2019 - 06/03/2019,West Los Angeles College,HLTHOCC,"9000 Overland Avenue, Culver City, CA 90230"
HLTHOCC 052,Medical Office Procedures I,Fr 4:00PM - 6:30PM,02/19/2019 - 06/03/2019,West Los Angeles College,HLTHOCC,"9000 Overland Avenue, Culver City, CA 90230"
HLTHOCC 055,Clinical Assisting Techniques I,Sa 8:00AM - 10:35AM,02/04/2019 - 06/03/2019,West Los Angeles College,HLTHOCC,"9000 Overland Avenue, Culver City, CA 90230"
HLTHOCC 055,Clinical Assisting Techniques I,Sa 11:15AM - 4:05PM,02/04/2019 - 06/03/2019,West Los Angeles College,HLTHOCC,"9000 Overland Avenue, Culver City, CA 90230"
HLTHOCC 061,Medical Insurance,We 4:30PM - 8:05PM,02/19/2019 - 06/03/2019,West Los Angeles College,HLTHOCC,"9000 Overland Avenue, Culver City, CA 90230"
HLTHOCC 062,Skill Set For The Health Care Professional,Sa 8:00AM - 9:05AM,02/04/2019 - 06/03/2019,Instructional Television,HLTHOCC,Instructional Television
HLTHOCC 062,Skill Set For The Health Care Professional,Sa 9:05AM - 12:15PM,02/04/2019 - 06/03/2019,Instructional Television,HLTHOCC,Instructional Television
HLTHOCC 062,Skill Set For The Health Care Professional,TuTh 8:00AM - 8:50AM,02/04/2019 - 03/27/2019,Los Angeles Mission College,HLTHOCC,"13356 Eldridge Avenue, Sylmar, CA 91342"
HLTHOCC 062,Skill Set For The Health Care Professional,TuTh 9:05AM - 12:25PM,02/04/2019 - 03/27/2019,Los Angeles Mission College,HLTHOCC,"13356 Eldridge Avenue, Sylmar, CA 91342"
HLTHOCC 062,Skill Set For The Health Care Professional,MoTuWeTh 8:00AM - 8:50AM,02/04/2019 - 03/08/2019,LA Trade-Technical College,HLTHOCC,"400 W. Washington Blvd, Los Angeles, CA 90015"
HLTHOCC 062,Skill Set For The Health Care Professional,MoTuWeTh 9:00AM - 11:30AM,02/04/2019 - 03/08/2019,LA Trade-Technical College,HLTHOCC,"400 W. Washington Blvd, Los Angeles, CA 90015"
HLTHOCC 063,"Basic Medical Terminology, Pathophysiology And Pharmacology",Fr 8:00AM - 1:50PM,02/04/2019 - 03/27/2019,Instructional Television,HLTHOCC,Instructional Television
HLTHOCC 063,"Basic Medical Terminology, Pathophysiology And Pharmacology",Th 3:30PM - 4:30PMSa 8:00AM - 9:00AM,02/04/2019 - 06/03/201902/04/2019 - 06/03/2019,Los Angeles Harbor College,HLTHOCC,"1111 Figueroa Place, Wilmington, CA 90744"
HLTHOCC 063,"Basic Medical Terminology, Pathophysiology And Pharmacology",We 3:15PM - 4:15PMSa 8:00AM - 9:00AM,02/04/2019 - 06/03/201902/04/2019 - 06/03/2019,Los Angeles Harbor College,HLTHOCC,"1111 Figueroa Place, Wilmington, CA 90744"
HLTHOCC 063,"Basic Medical Terminology, Pathophysiology And Pharmacology",TuTh 9:00AM - 9:50AM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,HLTHOCC,"1111 Figueroa Place, Wilmington, CA 90744"
HLTHOCC 063,"Basic Medical Terminology, Pathophysiology And Pharmacology",TuTh 8:00AM - 10:05AM,04/08/2019 - 06/03/2019,Los Angeles Mission College,HLTHOCC,"13356 Eldridge Avenue, Sylmar, CA 91342"
HLTHOCC 063,"Basic Medical Terminology, Pathophysiology And Pharmacology",We 4:30PM - 6:35PM,02/04/2019 - 06/03/2019,Los Angeles Mission College,HLTHOCC,"13356 Eldridge Avenue, Sylmar, CA 91342"
HLTHOCC 063,"Basic Medical Terminology, Pathophysiology And Pharmacology",MoTuWeTh 2:50PM - 4:25PM,02/04/2019 - 03/08/2019,LA Trade-Technical College,HLTHOCC,"400 W. Washington Blvd, Los Angeles, CA 90015"
HLTHOCC 064,Cultural And Legal Topics For Health Care Professionals,Fr 1:00PM - 3:50PM,02/04/2019 - 03/27/2019,Instructional Television,HLTHOCC,Instructional Television
HLTHOCC 064,Cultural And Legal Topics For Health Care Professionals,TuTh 12:40PM - 1:30PM,02/04/2019 - 03/27/2019,Los Angeles Mission College,HLTHOCC,"13356 Eldridge Avenue, Sylmar, CA 91342"
HLTHOCC 064,Cultural And Legal Topics For Health Care Professionals,Fr 8:00AM - 12:15PM,02/04/2019 - 03/08/2019,LA Trade-Technical College,HLTHOCC,"400 W. Washington Blvd, Los Angeles, CA 90015"
HLTHOCC 065,Fundamentals For The Health Care Professional,Sa 1:25PM - 3:55PM,02/04/2019 - 06/03/2019,Instructional Television,HLTHOCC,Instructional Television
HLTHOCC 065,Fundamentals For The Health Care Professional,Fr 8:00AM - 1:20PM,04/08/2019 - 06/03/2019,Instructional Television,HLTHOCC,Instructional Television
HLTHOCC 065,Fundamentals For The Health Care Professional,TuTh 10:20AM - 12:20PM1Hr 35Min /Wk TBA,04/08/2019 - 06/03/201904/08/2019 - 06/03/2019,Los Angeles Mission College,HLTHOCC,"13356 Eldridge Avenue, Sylmar, CA 91342"
HLTHOCC 065,Fundamentals For The Health Care Professional,MoTuWeTh 12:30PM - 2:40PM,02/04/2019 - 03/08/2019,LA Trade-Technical College,HLTHOCC,"400 W. Washington Blvd, Los Angeles, CA 90015"
NRSCE 101,Introduction To Nursing,Mo 9:10AM - 11:30AM,02/04/2019 - 03/27/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 102,Fundamentals Of Nursing,Mo 9:10AM - 11:15AM,04/08/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 103,Nursing Process,MoTh 8:00AM - 9:05AM,02/04/2019 - 03/27/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 104,Nursing Communication,MoTh 8:00AM - 8:50AM,04/08/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 105,Nursing Pharmacology,Th 9:15AM - 10:40AM,02/04/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 105,Nursing Pharmacology,Th 11:30AM - 12:55PM,02/04/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 105,Nursing Pharmacology,Th 11:30AM - 12:55PM,02/04/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 105,Nursing Pharmacology,Th 11:30AM - 12:55PM,02/04/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 105,Nursing Pharmacology,Th 11:30AM - 12:55PM,02/04/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 106,Medical-Surgical Nursing I,TuTh 8:30AM - 11:50AM,02/04/2019 - 03/27/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 106,Medical-Surgical Nursing I,TuTh 8:30AM - 11:40AM,04/08/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 107,Medical-Surgical Nursing II,Tu 12:30PM - 4:00PMTh 8:30AM - 11:40AM,02/04/2019 - 03/27/201902/04/2019 - 03/27/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 107,Medical-Surgical Nursing II,Tu 12:30PM - 3:40PMTh 8:30AM - 11:40AM,04/08/2019 - 06/03/201904/08/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 108,Medical-Surgical Nursing III,Th 8:30AM - 11:00AMFr 10:00AM - 12:25PM,02/04/2019 - 03/27/201902/04/2019 - 03/27/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 108,Medical-Surgical Nursing III,Th 8:30AM - 10:00AMFr 10:00AM - 12:25PM,04/08/2019 - 06/03/201904/08/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 109,Gerontology & Community Based Nursing,Tu 9:00AM - 11:05AM,02/04/2019 - 03/27/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
